Name,Device Type,IP
X-NCT-5102-02.scspa.local,Switch,10.1.0.10
NCT-DC_NET-VPN,Router,10.1.0.100
5548_CORE-1,Switch,10.1.0.101
5548_CORE-2,Switch,10.1.0.102
X-EMC_C7000-MGMT.scspa.local,Switch,10.1.0.12
X-5010-NEXUS-01,Switch,10.1.0.20
X-NCT-5102-ILO,Switch,10.1.0.200
x-cbp.scspa.local,Switch,10.1.0.201
X-5010-NEXUS-02,Switch,10.1.0.21
X-NCTDC-VM,Switch,10.1.0.9
X-HLT666-CORE.scspa.local,Switch,10.108.0.1
BLUEHILLBackup.scspa.com,Switch,10.198.3.100
BlueHill-3850,Switch,10.199.3.100
BLUEHILL-VPN.scspa.com,Switch,10.199.3.102
SCIP_EPLS,Switch,10.201.0.1
X-SCIP804-INTCHG,Switch,10.201.0.12
X-SCIP802-BACKUP.scspa.local,Switch,10.201.0.14
SCIP802-OFFICE.scspa.local,Switch,10.201.0.2
X-SCIP802-SEC_AGS.scpsa.local,Switch,10.201.0.3
X-SCIP803-TRAILER.scspa.local,Switch,10.201.0.4
SCIP802_DR,Switch,10.201.0.5
X-SCIP806-GUARDSHACK,Switch,10.201.0.6
SCIP_NET-VPN.scspa.com,Router,10.201.0.9
IPD-CORE-ASE,Switch,10.208.0.1
X-IPD6100-YARD,Switch,10.208.0.10
IPD-INTCHX,Switch,10.208.0.11
X-IPD6100-AGS,Switch,10.208.0.12
IPD-VMServer,Switch,10.208.0.9
Switch-124,Switch,10.228.0.124
X-CST103-CORE,Switch,10.3.0.1
X-CST103-DISTRO,Switch,10.3.0.10
X-CST145-01.scspa.local,Switch,10.3.0.145
X-CST148-01,Switch,10.3.0.148
X-CST115-01,Switch,10.3.0.8
X-CST168-01,Switch,10.3.0.95
VPR-NCT_3850,Switch,10.4.0.1
X-NCT511-CORE,Switch,10.4.0.10
X-NCT-B5102-AGS.scspa.local,Switch,10.4.0.11
X-NCT587,Switch,10.4.0.12
X-NCT512-LAB,Switch,10.4.0.13
X-NCT5103-INTX-AGS,Switch,10.4.0.14
X-NCT5103-SECURITY,Switch,10.4.0.15
X-NCT555-CRANE_LOUNGE,Switch,10.4.0.16
X-NCT584-TRAILER.scspa.local,Switch,10.4.0.17
X-NCT-B5102-NCT_DISTRO.scspa.local,Switch,10.4.0.3
X-NCT5102-02_Security,Switch,10.4.0.4
X-NCT5102_03-Security,Switch,10.4.0.5
NCT-599_GUARDSHACK,Switch,10.4.0.6
X-NCT590_GS-SECURITY.scspa.local,Switch,10.4.0.61
X-NCT531-LANES,Switch,10.4.0.64
NCT5104-PR,Switch,10.4.0.7
X-NCT511-DA,Switch,10.4.0.8
X-NCT584-01.scspa.local,Switch,10.4.0.82
X-NCT5103-Interchange,Switch,10.4.0.9
X-WWT401-01.scspa.local,Switch,10.5.0.10
ASE-WWT,Switch,10.5.0.100
X-WWT469-GS,Switch,10.5.0.109
WWT441-NS,Switch,10.5.0.11
X-WWT470,Switch,10.5.0.111
WWT401-BOOTHS,Switch,10.5.0.12
X-WWT-MEETING,Switch,10.5.0.13
X-WWT401-SEC.scspa.local,Switch,10.5.0.14
X-WWT407-GuardShack.scspa.local,Switch,10.5.0.15
X-WWT448,Switch,10.5.0.150
X-WWT-441-SECURITY.scspa.local,Switch,10.5.0.16
X-WWT442_SECURITY.scspa.local,Switch,10.5.0.17
X-WWT449-SECURITY.scspa.local,Switch,10.5.0.19
VPR-WWT_3850,Switch,10.5.0.2
X-WWT451-SECURITY.scspa.local,Switch,10.5.0.20
X-WWT-ILA-LOT.scspa.local,Switch,10.5.0.21
X-WWT406-SECURITY.scspa.local,Switch,10.5.0.22
X-WWT455_SECURITY.scspa.local,Switch,10.5.0.23
X-WWT451-GPC_1,Switch,10.5.0.24
X-WWT451-AGS,Switch,10.5.0.26
X-WWT443-CRANE_lounge,Switch,10.5.0.27
X-WWT451-IT_LAB.scspa.local,Switch,10.5.0.28
X-WWT442_SECURITY-002,Switch,10.5.0.29
WWT-455-BOOTHS,Switch,10.5.0.31
X-WWT442-AGS,Switch,10.5.0.32
X-WWT441-NS_SECURITY.scspa.local,Switch,10.5.0.33
X-WWT441-12G,Switch,10.5.0.34
X-WWT451-GPC-Phone,Switch,10.5.0.35
X-WWT451-GPC_2,Switch,10.5.0.36
X-WWT441-SECURITY_2,Switch,10.5.0.37
X-WWT451-WAR_RM,Switch,10.5.0.38
X-WWT404-HL-48,Switch,10.5.0.42
X-WWT472-CHASSIS.scspa.local,Switch,10.5.0.44
X-WWT401-SEC_DISTRO,Switch,10.5.0.46
X-WWT442-ELEV,Switch,10.5.0.5
WWT401-NS,Switch,10.5.0.6
X-WWT441-LANES,Switch,10.5.0.62
X-WWT419.scspa.local,Switch,10.5.0.64
X-WWT-419-2,Switch,10.5.0.65
WWT455-NS,Switch,10.5.0.7
X-WWT401_DA,Switch,10.5.0.8
WWT401-NS-SECURITY,Switch,10.5.0.9
X-UPT316-CORE.scspa.local,Switch,10.6.0.1
X-UPT318-MAIN,Switch,10.6.0.10
NCTDC-Firewall,Firewall,10.64.1.157
WWT-Firewall,Firewall,10.65.1.151
SCIP-Firewall,Firewall,10.66.1.142
GWTN-VPN-RTR.scspa.com,Router,10.7.0.1
X-GT-01,Switch,10.7.0.10
X-PT-CORE,Switch,10.8.0.1
X-PT196-OFFICE,Switch,10.8.0.10
X-PT-UPT324-ONBOARDING.scspa.local,Switch,10.8.0.20
X-PT-UPT-GUARD_SHACK,Switch,10.8.0.30
X-HQ3-CORE.scspa.local,Switch,10.9.0.1
X-HQ2-01.scspa.local,Switch,10.9.0.102
X-HQ3-01.scspa.local,Switch,10.9.0.103
X-HQ4-01.scspa.local,Switch,10.9.0.104
X-HQ3-SERVER.scspa.local,Switch,10.9.0.105
X-HQ1-PP-01.scspa.local,Switch,10.9.0.112
X-HQ4-AV-01.scspa.local,Switch,10.9.0.114
Aruba VMM,Appliance,10.54.0.150
Aruba MC1,WLC,10.54.0.152
Aruba MC2,WLC,10.54.0.153
Aruba-WWT,WLC,10.54.0.141
Aruba-NCT,WLC,10.54.0.142
Phocus-121,Thick Ap,10.24.32.121
Phocus-122,Thick Ap,10.24.32.122
Phocus-123,Thick Ap,10.24.32.123
Phocus-124,Thick Ap,10.24.32.124
Phocus-201,Thick Ap,10.25.32.201
Phocus-202,Thick Ap,10.25.32.202
Phocus-203,Thick Ap,10.25.32.203
