IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.3.0.11,010.003.000.011,10.3.0.11,0,00c0f21f5704,"[Information Technology, Networking]",[Unknown],[Transition Networks],0,transition networks,TRANSITION NETWORKS,Network Device,Sony Ericsson U8i Vivaz mobile phone or D-Link DCS-3220 webcam or Cisco IP Phone 7941 or Cisco IP Phone 7942G or Cisco IP Phone 7961G or Crestron MPC-M5 AV controller or D-Link DCS-3220 or DCS-5300G webcam or Efficient Networks SpeedStream 5100 ADSL router or Hioki MEMORY HiCORDER 8855 digital oscilloscope or Tomato 1.28 (Linux 2.4.20),0
10.3.1.1,010.003.001.001,10.3.1.1,0,00e0d816ef59,"[Information Technology, Networking]",[Unknown],[Lanbit],0,"lanbit computer, inc.","LANBIT COMPUTER, INC.",Network Device,23/tcp ConnectUPS Web/SNMP Card telnetd 4.34 ;80/tcp UPS_Server httpd 1.0 Powerware ConnectUPS WEB/SNMP Card http config;22/tcp USHA SSH 0.1 protocol 1.99,0
10.3.1.10,010.003.001.010,10.3.1.10,0,0080a39c1b72,"[Information Technology, Networking, Protocol Converter, Serial-to-IP Converter]",[Unknown],"[Lantronix, Lantronix Serial Device Server]",0,lantronix,LANTRONIX,0,Lantronix XPort embedded Ethernet device server;80/tcp Lantronix XPort embedded ethernet http config  ,0
10.3.1.11,010.003.001.011,10.3.1.11,0,1.29948E+15,"[Information Technology, Computer]",[Linux],[DFI],0,dfi inc.,DFI INC.,Linux Desktop/Server,22/tcp OpenSSH 7.2p2 Ubuntu 4ubuntu2.4 Ubuntu Linux; protocol 2.0,0
10.3.1.12,010.003.001.012,10.3.1.12,0,00012992eff7,"[Information Technology, Computer]",[Linux],[DFI],0,dfi inc.,DFI INC.,Linux Desktop/Server,22/tcp OpenSSH 7.2p2 Ubuntu 4ubuntu2.4 Ubuntu Linux; protocol 2.0,0
10.3.2.3,010.003.002.003,10.3.2.3,0,0080a3627d68,"[Information Technology, Networking]",[Unknown],[Lantronix],0,lantronix,LANTRONIX,0,Lantronix ETS4P print server or Lantronix MSSLite device server or Lantronix MSS100 print server or Lantronix ETS32Pr or LRS16 terminal server or Lantronix MPS1 print server or Bay Networks BayStack 450 switch (software version 4.2.0.16);21/tcp Lantronix MPS100 ftpd 1.1 ,0
10.3.2.5,010.003.002.005,CSTDOCK2.scspa.local,CSTDOCK2.scspa.local,0080a3617a0a,[Information Technology],[Unknown],[Lantronix],0,lantronix,LANTRONIX,Printer,Lantronix MSSLite device server;21/tcp Lantronix MPS100 ftpd 1.1 ;80/tcp Gordian httpd 1.0 Lantronix ThinWeb Manager 1.0 http config,0
10.3.2.9,010.003.002.009,10.3.2.9,0,9c934eb6eab3,"[Information Technology, Accessory, Printer]",[Linux],"[Xerox, Xerox Printer]",0,xerox corporation,XEROX CORPORATION,Linux Desktop/Server,Linux 2.6.32 - 3.10 or Linux 3.4 - 3.10,0
10.3.2.28,010.003.002.028,10.3.2.28,0,9caed3b76993,"[Information Technology, Computer]",[Linux],[Epson],0,seiko epson corporation,SEIKO EPSON CORPORATION,Linux Desktop/Server,Linux 2.4-2.6;Linux 2.6.x,0
10.3.2.80,010.003.002.080,CSTHEAVY.scspa.local,CSTHEAVY.scspa.local,9c934e1d0761,"[Information Technology, Accessory, Printer]",[Linux],"[Xerox, Xerox Printer]",0,xerox corporation,XEROX CORPORATION,Linux Desktop/Server,Linux 2.4-2.6;Linux 2.6.x,0
10.3.2.82,010.003.002.082,CSTMANDH.scspa.local,CSTMANDH.scspa.local,9c934e026ab8,"[Information Technology, Accessory, Printer]",[Linux],"[Xerox, Xerox Printer]",0,xerox corporation,XEROX CORPORATION,Linux Desktop/Server,Linux 2.4-2.6;Linux 2.6.x,0
10.3.2.83,010.003.002.083,10.3.2.83,0,9c934e15114e,"[Information Technology, Accessory, Printer]",[Linux],"[Xerox, Xerox Printer]",0,xerox corporation,XEROX CORPORATION,Linux Desktop/Server,Linux 2.4-2.6;Linux 2.6.x,0
10.3.3.101,010.003.003.101,10.3.3.101,0,0090e84f3d9b,"[Information Technology, Networking]",[Unknown],[Moxa],0,"moxa technologies corp., ltd.","MOXA TECHNOLOGIES CORP., LTD.",Network Device,MOXA NPort 5110 serial device server or MOXA Ethernet-to-serial bridge or MOXA NPort Express 2.5 or MOXA NPort 5210 serial device server or MOXA NPort Express DE-211 serial device server,0
10.3.3.102,010.003.003.102,10.3.3.102,0,00245902eb37,[Operational Technology],[Unknown],[ABB],0,abb automation products gmbh,ABB AUTOMATION PRODUCTS GMBH,0,Possibly 2N Helios IP VoIP doorbell or British Gas GS-Z3 data logger or Espressif WiFi system-on-a-chip or Grandstream GXP1105 VoIP phone or LaSAT satellite receiver or lwIP 1.4.0 lightweight TCP/IP stack or Milight WiFi Receiver bridge or NodeMCU firmware (lwIP stack) or Philips Hue Bridge (lwIP stack v1.4.0) or Philips Hue Bridge (lwIP stack),0
