IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.3.3.98,010.003.003.098,145522.scspa.local,145522.scspa.local,004058117eea,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.4.3.97,010.004.003.097,145262.scspa.local,145262.scspa.local,004058137ba8,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.4.3.98,010.004.003.098,143012.scspa.local,143012.scspa.local,00405812a9c7,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.5.3.1,010.005.003.001,145342.scspa.local,145342.scspa.local,0040581033ea,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.5.3.18,010.005.003.018,145832.scspa.local,145832.scspa.local,4058140209,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.5.3.96,010.005.003.096,145332.scspa.local,145332.scspa.local,004058111d9d,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.5.3.97,010.005.003.097,141162.scspa.local,141162.scspa.local,004058117ed8,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.5.3.98,010.005.003.098,141132.scspa.local,141132.scspa.local,004058117a31,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.5.3.99,010.005.003.099,148962.scspa.local,148962.scspa.local,004058147c25,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.9.3.99,010.009.003.099,141152.scspa.local,141152.scspa.local,004058117a0e,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux Desktop/Server,
10.201.3.1,010.201.003.001,147552.scspa.local,147552.scspa.local,00405811a27c,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.201.3.99,010.201.003.099,142862.scspa.local,142862.scspa.local,00405813d032,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
10.208.3.99,010.208.003.099,141082.scspa.local,141082.scspa.local,00405812018f,"[Operational Technology, Facilities, Clock]",[Linux],[Kronos],,"kronos, inc.","KRONOS, INC.",Linux Desktop/Server,Linux 3.x,
